年次,市区町村コード,全国，都道府県，市区町村,昼間人口
2020年,13364,神津島村,"1,857"
2020年,13381,三宅村,"2,345"
2020年,13382,御蔵島村,330
2020年,13401,八丈町,"7,133"
2020年,13402,青ヶ島村,205
2020年,13421,小笠原村,"3,021"
2020年,14000,神奈川県,"8,468,946"
2020年,14100,横浜市,"3,495,975"
2020年,14101,横浜市鶴見区,"266,213"
2020年,14102,横浜市神奈川区,"244,746"
2020年,14103,横浜市西区,"199,589"
2020年,14104,横浜市中区,"242,204"
2020年,14105,横浜市南区,"160,600"
2020年,14106,横浜市保土ケ谷区,"174,848"
2020年,14107,横浜市磯子区,"139,664"
2020年,14108,横浜市金沢区,"193,074"
2020年,14109,横浜市港北区,"330,958"
2020年,14110,横浜市戸塚区,"245,012"
2020年,14111,横浜市港南区,"174,862"
2020年,14112,横浜市旭区,"200,238"
2020年,14113,横浜市緑区,"150,048"
2020年,14114,横浜市瀬谷区,"102,517"
2020年,14115,横浜市栄区,"99,497"
2020年,14116,横浜市泉区,"119,956"
2020年,14117,横浜市青葉区,"248,048"
