Mainline/Low Cost,Dep Airport Code,Dep City Code,Arr Airport Code,Arr City Code,International/Domestic,Time series,Frequency
L,UKB,OSA,SHI,SHI,Domestic,44682,31
M,KIX,OSA,ICN,SEL,International,44682,13
M,KIX,OSA,LAX,LAX,International,44682,5
M,ITM,OSA,HND,TYO,Domestic,44682,4
M,ITM,OSA,SDJ,SDJ,Domestic,44682,4
M,KIX,OSA,BKK,BKK,International,44682,26
M,KIX,OSA,ISG,ISG,Domestic,44682,31
L,KIX,OSA,KOJ,KOJ,Domestic,44682,52
M,KIX,OSA,OKA,OKA,Domestic,44682,42
L,KIX,OSA,KMI,KMI,Domestic,44682,52
M,ITM,OSA,FUK,FUK,Domestic,44682,2
M,ITM,OSA,AOJ,AOJ,Domestic,44682,93
L,KIX,OSA,FUK,FUK,Domestic,44682,95
M,KIX,OSA,KUL,KUL,International,44682,13
M,ITM,OSA,HND,TYO,Domestic,44682,38
L,KIX,OSA,ICN,SEL,International,44682,11
M,ITM,OSA,KOJ,KOJ,Domestic,44682,99
M,ITM,OSA,KOJ,KOJ,Domestic,44682,31
L,KIX,OSA,ICN,SEL,International,44682,13
M,ITM,OSA,HND,TYO,Domestic,44682,105
M,ITM,OSA,KIJ,KIJ,Domestic,44682,62
M,KIX,OSA,HAN,HAN,International,44682,9
M,ITM,OSA,FUK,FUK,Domestic,44682,31
M,ITM,OSA,KOJ,KOJ,Domestic,44682,54
M,KIX,OSA,TPE,TPE,International,44682,17
M,KIX,OSA,HAN,HAN,International,44682,11
L,KIX,OSA,CTS,SPK,Domestic,44682,196
M,KIX,OSA,ICN,SEL,International,44682,3
M,ITM,OSA,CTS,SPK,Domestic,44682,1
M,KIX,OSA,CTS,SPK,Domestic,44682,56
M,KIX,OSA,DLC,DLC,International,44682,1
L,UKB,OSA,HND,TYO,Domestic,44682,186
L,UKB,OSA,OKA,OKA,Domestic,44682,93
M,ITM,OSA,CTS,SPK,Domestic,44682,121
M,KIX,OSA,HKG,HKG,International,44682,31
M,UKB,OSA,HND,TYO,Domestic,44682,31
M,ITM,OSA,FUK,FUK,Domestic,44682,62
M,KIX,OSA,ISG,ISG,Domestic,44682,31
M,KIX,OSA,HND,TYO,Domestic,44682,76
M,ITM,OSA,KOJ,KOJ,Domestic,44682,2
M,ITM,OSA,SDJ,SDJ,Domestic,44682,31
M,ITM,OSA,KMI,KMI,Domestic,44682,86
M,ITM,OSA,KUM,KUM,Domestic,44682,31
M,ITM,OSA,KMJ,KMJ,Domestic,44682,91
M,ITM,OSA,TJH,TJH,Domestic,44682,62
M,KIX,OSA,ICN,SEL,International,44682,15
L,UKB,OSA,CTS,SPK,Domestic,44682,93
M,ITM,OSA,HND,TYO,Domestic,44682,306
M,ITM,OSA,KOJ,KOJ,Domestic,44682,186
M,ITM,OSA,OKI,OKI,Domestic,44682,31
L,KIX,OSA,MNL,MNL,International,44682,2
M,UKB,OSA,CTS,SPK,Domestic,44682,30
M,ITM,OSA,KMI,KMI,Domestic,44682,62
M,KIX,OSA,HND,TYO,Domestic,44682,62
M,KIX,OSA,PUS,PUS,International,44682,6
M,KIX,OSA,HND,TYO,Domestic,44713,30
M,UKB,OSA,HND,TYO,Domestic,44713,2
M,KIX,OSA,TPE,TPE,International,44713,1
M,ITM,OSA,FUK,FUK,Domestic,44713,29
M,ITM,OSA,KUM,KUM,Domestic,44713,30
M,UKB,OSA,KIJ,KIJ,Domestic,44713,30
M,UKB,OSA,HNA,HNA,Domestic,44713,30
M,UKB,OSA,MMJ,MMJ,Domestic,44713,60
M,UKB,OSA,CTS,SPK,Domestic,44713,29
M,ITM,OSA,HKD,HKD,Domestic,44713,30
M,ITM,OSA,HND,TYO,Domestic,44713,3
M,ITM,OSA,KMI,KMI,Domestic,44713,90
M,KIX,OSA,OKA,OKA,Domestic,44713,78
M,KIX,OSA,SGN,SGN,International,44713,2
M,KIX,OSA,HND,TYO,Domestic,44713,1
M,ITM,OSA,KMI,KMI,Domestic,44713,67
M,ITM,OSA,MSJ,MSJ,Domestic,44713,30
M,ITM,OSA,HND,TYO,Domestic,44713,1
M,ITM,OSA,KIJ,KIJ,Domestic,44713,58
L,KIX,OSA,MNL,MNL,International,44713,3
M,ITM,OSA,HND,TYO,Domestic,44713,3
M,ITM,OSA,AXT,AXT,Domestic,44713,60
L,KIX,OSA,OKA,OKA,Domestic,44713,30
M,ITM,OSA,AOJ,AOJ,Domestic,44713,90
M,KIX,OSA,HNL,HNL,International,44713,5
M,KIX,OSA,ISG,ISG,Domestic,44713,29
M,ITM,OSA,FUK,FUK,Domestic,44713,60
M,ITM,OSA,CTS,SPK,Domestic,44713,14
M,KIX,OSA,HKG,HKG,International,44713,37
L,UKB,OSA,OKA,OKA,Domestic,44713,90
M,ITM,OSA,KMJ,KMJ,Domestic,44713,30
M,ITM,OSA,CTS,SPK,Domestic,44713,3
M,ITM,OSA,CTS,SPK,Domestic,44713,20
L,KIX,OSA,NRT,TYO,Domestic,44713,30
M,ITM,OSA,FUK,FUK,Domestic,44713,30
M,ITM,OSA,TJH,TJH,Domestic,44713,60
M,ITM,OSA,HND,TYO,Domestic,44713,1
M,UKB,OSA,HND,TYO,Domestic,44713,29
M,ITM,OSA,HND,TYO,Domestic,44713,97
M,KIX,OSA,LAX,LAX,International,44713,4
M,KIX,OSA,BKK,BKK,International,44713,2
L,KIX,OSA,KIJ,KIJ,Domestic,44713,30
M,ITM,OSA,OKA,OKA,Domestic,44713,3
M,ITM,OSA,IZO,IZO,Domestic,44713,30
L,KIX,OSA,ICN,SEL,International,44713,18
M,ITM,OSA,CTS,SPK,Domestic,44713,113
M,ITM,OSA,GAJ,GAJ,Domestic,44713,84
M,ITM,OSA,HND,TYO,Domestic,44713,1
M,ITM,OSA,KMI,KMI,Domestic,44713,89
M,KIX,OSA,HAN,HAN,International,44713,8
M,KIX,OSA,ISG,ISG,Domestic,44713,1
M,ITM,OSA,IZO,IZO,Domestic,44713,90
L,KIX,OSA,CTS,SPK,Domestic,44713,198
L,KIX,OSA,KMI,KMI,Domestic,44713,52
M,ITM,OSA,HND,TYO,Domestic,44713,84
M,ITM,OSA,HND,TYO,Domestic,44713,178
L,KIX,OSA,MNL,MNL,International,44713,4
M,KIX,OSA,HAN,HAN,International,44713,12
M,KIX,OSA,CTS,SPK,Domestic,44713,72
M,UKB,OSA,HND,TYO,Domestic,44713,29
M,ITM,OSA,SDJ,SDJ,Domestic,44713,3
M,KIX,OSA,ICN,SEL,International,44713,8
M,ITM,OSA,HND,TYO,Domestic,44713,25
M,ITM,OSA,HND,TYO,Domestic,44713,289
M,ITM,OSA,OIT,OIT,Domestic,44713,83
M,ITM,OSA,KMJ,KMJ,Domestic,44713,60
M,ITM,OSA,OIT,OIT,Domestic,44713,7
M,KIX,OSA,OKA,OKA,Domestic,44713,44
M,ITM,OSA,KMJ,KMJ,Domestic,44713,92
L,KIX,OSA,SGN,SGN,International,44713,25
M,ITM,OSA,HKD,HKD,Domestic,44713,32
M,KIX,OSA,HND,TYO,Domestic,44713,24
L,KIX,OSA,FUK,FUK,Domestic,44713,94
L,UKB,OSA,KOJ,KOJ,Domestic,44713,60
M,ITM,OSA,OKI,OKI,Domestic,44713,30
M,ITM,OSA,OIT,OIT,Domestic,44713,2
M,KIX,OSA,TPE,TPE,International,44713,34
L,UKB,OSA,IBR,IBR,Domestic,44713,90
M,KIX,OSA,TPE,TPE,International,44713,8
M,ITM,OSA,NRT,TYO,Domestic,44713,30
M,KIX,OSA,SIN,SIN,International,44713,30
M,KIX,OSA,HND,TYO,Domestic,44713,63
M,ITM,OSA,FUK,FUK,Domestic,44713,30
M,KIX,OSA,TPE,TPE,International,44713,13
M,ITM,OSA,FKS,FKS,Domestic,44713,60
M,ITM,OSA,HND,TYO,Domestic,44713,13
M,KIX,OSA,BKK,BKK,International,44713,28
L,KIX,OSA,NGS,NGS,Domestic,44713,51
L,KIX,OSA,KUH,KUH,Domestic,44713,28
M,KIX,OSA,HND,TYO,Domestic,44713,32
M,ITM,OSA,SDJ,SDJ,Domestic,44713,31
M,ITM,OSA,SDJ,SDJ,Domestic,44713,30
M,ITM,OSA,FKS,FKS,Domestic,44713,60
M,ITM,OSA,KMJ,KMJ,Domestic,44713,60
M,KIX,OSA,OKA,OKA,Domestic,44713,60
M,ITM,OSA,KMJ,KMJ,Domestic,44713,86
M,ITM,OSA,KMI,KMI,Domestic,44713,83
M,ITM,OSA,KOJ,KOJ,Domestic,44713,1
M,ITM,OSA,CTS,SPK,Domestic,44713,120
M,KIX,OSA,HKG,HKG,International,44713,4
L,UKB,OSA,HND,TYO,Domestic,44713,180
M,ITM,OSA,HNA,HNA,Domestic,44713,120
M,KIX,OSA,DLC,DLC,International,44713,4
M,ITM,OSA,KOJ,KOJ,Domestic,44713,180
L,KIX,OSA,NRT,TYO,Domestic,44713,192
M,KIX,OSA,DXB,DXB,International,44713,22
M,KIX,OSA,HKG,HKG,International,44713,14
M,ITM,OSA,SDJ,SDJ,Domestic,44713,209
M,KIX,OSA,CTS,SPK,Domestic,44713,60
L,KIX,OSA,MNL,MNL,International,44713,6
M,ITM,OSA,OKA,OKA,Domestic,44713,60
M,KIX,OSA,ICN,SEL,International,44713,9
M,KIX,OSA,HND,TYO,Domestic,44713,150
M,ITM,OSA,KIJ,KIJ,Domestic,44713,60
M,ITM,OSA,SDJ,SDJ,Domestic,44713,143
L,KIX,OSA,OKA,OKA,Domestic,44713,123
M,ITM,OSA,SDJ,SDJ,Domestic,44713,4
M,ITM,OSA,KCZ,KCZ,Domestic,44713,180
M,ITM,OSA,GAJ,GAJ,Domestic,44713,6
M,KIX,OSA,HKG,HKG,International,44713,1
M,ITM,OSA,HND,TYO,Domestic,44713,17
L,KIX,OSA,HAN,HAN,International,44713,26
M,ITM,OSA,AXT,AXT,Domestic,44713,90
M,KIX,OSA,KUL,KUL,International,44713,13
L,UKB,OSA,OKA,OKA,Domestic,44713,120
L,KIX,OSA,KOJ,KOJ,Domestic,44713,50
M,KIX,OSA,ICN,SEL,International,44713,30
L,KIX,OSA,OKA,OKA,Domestic,44713,24
M,KIX,OSA,ICN,SEL,International,44713,5
L,KIX,OSA,ISG,ISG,Domestic,44713,60
L,UKB,OSA,CTS,SPK,Domestic,44713,90
M,ITM,OSA,NGS,NGS,Domestic,44713,90
M,ITM,OSA,OKA,OKA,Domestic,44713,75
M,ITM,OSA,OKA,OKA,Domestic,44713,3
M,KIX,OSA,HND,TYO,Domestic,44713,58
M,ITM,OSA,NGS,NGS,Domestic,44713,120
M,ITM,OSA,KIJ,KIJ,Domestic,44713,60
