Mainline/Low Cost,Dep Airport Code,Dep City Code,Arr Airport Code,Arr City Code,International/Domestic,Time series,Frequency,dep_lat,dep_lon,arr_lat,arr_lon
M,EWR,NYC,SFO,SFO,Domestic,Apr-22,21,40.7127753,-74.0059728,37.7749295,-122.4194155
M,EWR,NYC,SAN,SAN,Domestic,Apr-22,23,40.7127753,-74.0059728,32.715738,-117.1610838
M,JFK,NYC,CLT,CLT,Domestic,Apr-22,133,40.7127753,-74.0059728,35.2270869,-80.8431267
M,JFK,NYC,GUA,GUA,International,Apr-22,8,40.7127753,-74.0059728,14.6349149,-90.5068824
M,JFK,NYC,PDX,PDX,Domestic,Apr-22,30,40.7127753,-74.0059728,45.515232,-122.6783853
L,JFK,NYC,GDL,GDL,International,Apr-22,2,40.7127753,-74.0059728,20.6751707,-103.3473385
M,LGA,NYC,CHO,CHO,Domestic,Apr-22,24,40.7127753,-74.0059728,38.0293059,-78.4766781
M,LGA,NYC,ATL,ATL,Domestic,Apr-22,46,40.7127753,-74.0059728,33.748752,-84.3876845
M,JFK,NYC,SAN,SAN,Domestic,Apr-22,24,40.7127753,-74.0059728,32.715738,-117.1610838
L,JFK,NYC,UVF,SLU,International,Apr-22,30,40.7127753,-74.0059728,13.909444,-60.978893
M,EWR,NYC,ITH,ITH,Domestic,Apr-22,52,40.7127753,-74.0059728,42.4439614,-76.5018807
M,LGA,NYC,IAD,WAS,Domestic,Apr-22,5,40.7127753,-74.0059728,47.7510741,-120.7401386
M,EWR,NYC,MIA,MIA,Domestic,Apr-22,109,40.7127753,-74.0059728,25.7616798,-80.1917902
L,EWR,NYC,BOS,BOS,Domestic,Apr-22,1,40.7127753,-74.0059728,42.3600825,-71.0588801
M,JFK,NYC,ATL,ATL,Domestic,Apr-22,2,40.7127753,-74.0059728,33.748752,-84.3876845
M,EWR,NYC,PHX,PHX,Domestic,Apr-22,12,40.7127753,-74.0059728,33.4483771,-112.0740373
M,JFK,NYC,SNN,SNN,International,Apr-22,30,40.7127753,-74.0059728,52.7117822,-8.8783365
M,LGA,NYC,DSM,DSM,Domestic,Apr-22,25,40.7127753,-74.0059728,41.5868417,-93.6249522
L,LGA,NYC,DEN,DEN,Domestic,Apr-22,54,40.7127753,-74.0059728,39.7392358,-104.990251
M,JFK,NYC,MAD,MAD,International,Apr-22,16,40.7127753,-74.0059728,40.4167279,-3.7032905
L,JFK,NYC,YYZ,YTO,International,Apr-22,7,40.7127753,-74.0059728,43.653226,-79.3831843
M,EWR,NYC,MYR,MYR,Domestic,Apr-22,53,40.7127753,-74.0059728,33.6954218,-78.8802094
L,EWR,NYC,TPA,TPA,Domestic,Apr-22,18,40.7127753,-74.0059728,27.9516896,-82.4587527
L,LGA,NYC,BWI,BWI,Domestic,Apr-22,52,40.7127753,-74.0059728,39.2903848,-76.6121893
M,EWR,NYC,LHR,LON,International,Apr-22,1,40.7127753,-74.0059728,51.5072178,-0.1275862
L,JFK,NYC,MCO,ORL,Domestic,Apr-22,1,40.7127753,-74.0059728,28.5383832,-81.3789269
M,EWR,NYC,PDX,PDX,Domestic,Apr-22,23,40.7127753,-74.0059728,45.515232,-122.6783853
M,JFK,NYC,TPA,TPA,Domestic,Apr-22,30,40.7127753,-74.0059728,27.9516896,-82.4587527
L,EWR,NYC,LAS,LAS,Domestic,Apr-22,55,40.7127753,-74.0059728,36.171563,-115.1391009
L,LGA,NYC,TPA,TPA,Domestic,Apr-22,54,40.7127753,-74.0059728,27.9516896,-82.4587527
M,EWR,NYC,LAS,LAS,Domestic,Apr-22,61,40.7127753,-74.0059728,36.171563,-115.1391009
M,EWR,NYC,ROC,ROC,Domestic,Apr-22,78,40.7127753,-74.0059728,43.1565779,-77.6088465
M,EWR,NYC,SLC,SLC,Domestic,Apr-22,23,40.7127753,-74.0059728,40.7607793,-111.8910474
M,EWR,NYC,MBJ,MBJ,International,Apr-22,60,40.7127753,-74.0059728,18.4713814,-77.9228676
M,EWR,NYC,IAD,WAS,Domestic,Apr-22,12,40.7127753,-74.0059728,47.7510741,-120.7401386
M,JFK,NYC,AUS,AUS,Domestic,Apr-22,60,40.7127753,-74.0059728,30.267153,-97.7430608
M,EWR,NYC,HHH,HHH,Domestic,Apr-22,5,40.7127753,-74.0059728,32.216316,-80.752608
L,LGA,NYC,TPA,TPA,Domestic,Apr-22,29,40.7127753,-74.0059728,27.9516896,-82.4587527
L,EWR,NYC,CHS,CHS,Domestic,Apr-22,30,40.7127753,-74.0059728,32.7833163,-79.9319664
M,JFK,NYC,AMS,AMS,International,Apr-22,20,40.7127753,-74.0059728,52.3675734,4.9041389
M,EWR,NYC,BOG,BOG,International,Apr-22,30,40.7127753,-74.0059728,4.7109886,-74.072092
M,LGA,NYC,BGR,BGR,Domestic,Apr-22,103,40.7127753,-74.0059728,44.8016128,-68.7712257
M,LGA,NYC,BHM,BHM,Domestic,Apr-22,46,40.7127753,-74.0059728,33.5185892,-86.8103567
M,JFK,NYC,STI,STI,International,Apr-22,90,40.7127753,-74.0059728,19.45409,-70.6922025
L,JFK,NYC,LAX,LAX,Domestic,Apr-22,198,40.7127753,-74.0059728,34.0549076,-118.242643
L,JFK,NYC,PVR,PVR,International,Apr-22,17,40.7127753,-74.0059728,20.6565177,-105.211358
M,JFK,NYC,TLV,TLV,International,Apr-22,5,40.7127753,-74.0059728,32.0852999,34.7817676
M,EWR,NYC,WAW,WAW,International,Apr-22,12,40.7127753,-74.0059728,52.2296756,21.0122287
M,EWR,NYC,DEN,DEN,Domestic,Apr-22,1,40.7127753,-74.0059728,39.7392358,-104.990251
M,EWR,NYC,DTW,DTT,Domestic,Apr-22,51,40.7127753,-74.0059728,42.331427,-83.0457538
L,EWR,NYC,ANU,ANU,International,Apr-22,10,40.7127753,-74.0059728,17.0746557,-61.8175207
L,EWR,NYC,LAX,LAX,Domestic,Apr-22,115,40.7127753,-74.0059728,34.0549076,-118.242643
M,LGA,NYC,ORD,CHI,Domestic,Apr-22,79,40.7127753,-74.0059728,41.8781136,-87.6297982
L,LGA,NYC,STL,STL,Domestic,Apr-22,56,40.7127753,-74.0059728,38.6270025,-90.1994042
M,EWR,NYC,ATH,ATH,International,Apr-22,21,40.7127753,-74.0059728,37.9838096,23.7275388
M,EWR,NYC,MXP,MIL,International,Apr-22,30,40.7127753,-74.0059728,45.468503,9.1824027
M,LGA,NYC,GRR,GRR,Domestic,Apr-22,30,40.7127753,-74.0059728,42.9633599,-85.6680863
M,LGA,NYC,PIT,PIT,Domestic,Apr-22,1,40.7127753,-74.0059728,40.4406248,-79.9958864
M,JFK,NYC,CLT,CLT,Domestic,Apr-22,118,40.7127753,-74.0059728,35.2270869,-80.8431267
L,EWR,NYC,SRQ,SRQ,Domestic,Apr-22,7,40.7127753,-74.0059728,27.4989278,-82.5748194
M,JFK,NYC,SAL,SAL,International,Apr-22,33,40.7127753,-74.0059728,13.6929403,-89.2181911
M,JFK,NYC,DTW,DTT,Domestic,Apr-22,119,40.7127753,-74.0059728,42.331427,-83.0457538
L,EWR,NYC,BOS,BOS,Domestic,Apr-22,30,40.7127753,-74.0059728,42.3600825,-71.0588801
