Mainline/Low Cost,Dep Airport Code,Dep City Code,Arr Airport Code,Arr City Code,International/Domestic,Time series,Frequency,dep_lat,dep_lon,arr_lat,arr_lon
L,LGW,LON,SPU,SPU,International,Apr-22,7,51.5072178,-0.1275862,43.5147118,16.4435148
M,LHR,LON,HYD,HYD,International,Apr-22,12,51.5072178,-0.1275862,17.406498,78.4772439
M,LHR,LON,DEL,DEL,International,Apr-22,3,51.5072178,-0.1275862,28.7040592,77.1024902
M,LHR,LON,TIA,TIA,International,Apr-22,41,51.5072178,-0.1275862,41.3275459,19.8186982
M,LHR,LON,DBV,DBV,International,Apr-22,4,51.5072178,-0.1275862,42.6506606,18.0944238
M,LHR,LON,ZRH,ZRH,International,Apr-22,5,51.5072178,-0.1275862,47.3768866,8.541694
L,LTN,LON,AGP,AGP,International,Apr-22,21,51.5072178,-0.1275862,28.2915637,-16.6291304
M,LHR,LON,MIA,MIA,International,Apr-22,3,51.5072178,-0.1275862,25.7616798,-80.1917902
L,LGW,LON,IBZ,IBZ,International,Apr-22,21,51.5072178,-0.1275862,39.0200099,1.4821482
L,LGW,LON,NCE,NCE,International,Apr-22,10,51.5072178,-0.1275862,43.7101728,7.2619532
M,LHR,LON,BOM,BOM,International,Apr-22,30,51.5072178,-0.1275862,19.0759837,72.8776559
M,LHR,LON,ORK,ORK,International,Apr-22,120,51.5072178,-0.1275862,51.8985143,-8.4756035
M,LCY,LON,DUS,DUS,International,Apr-22,67,51.5072178,-0.1275862,51.2230411,6.7824545
L,LTN,LON,BZG,BZG,International,Apr-22,12,51.5072178,-0.1275862,53.1234804,18.0084378
L,LTN,LON,GVA,GVA,International,Apr-22,49,51.5072178,-0.1275862,46.2043907,6.1431577
L,LTN,LON,KTW,KTW,International,Apr-22,13,51.5072178,-0.1275862,50.2648919,19.0237815
M,LGW,LON,ALC,ALC,International,Apr-22,9,51.5072178,-0.1275862,38.3457685,-0.4909444
M,LHR,LON,MSY,MSY,International,Apr-22,4,51.5072178,-0.1275862,29.9510658,-90.0715323
