Mainline/Low Cost,Dep Airport Code,Dep City Code,Arr Airport Code,Arr City Code,International/Domestic,Time series,Frequency,dep_lat,dep_lon,arr_lat,arr_lon,Arr City Name,Arr Country Name
M,SIN,SIN,REP,REP,International,22-Apr,30,1.2830173,103.8513365,13.3632533,103.856403,SIEM REAP,Cambodia
M,SIN,SIN,AUH,AUH,International,22-Apr,14,1.2830173,103.8513365,24.453884,54.3773438,ABU DHABI,United Arab Emirates
M,SIN,SIN,CCU,CCU,International,22-Apr,30,1.2830173,103.8513365,22.5743545,88.3628734,KOLKATA,India (including Andaman Isl.)
M,SIN,SIN,BKK,BKK,International,22-Apr,90,1.2830173,103.8513365,13.7563309,100.5017651,BANGKOK,Thailand
M,SIN,SIN,DXB,DXB,International,22-Apr,30,1.2830173,103.8513365,25.2048493,55.2707828,DUBAI,United Arab Emirates
M,SIN,SIN,CGK,JKT,International,22-Apr,4,1.2830173,103.8513365,-6.1944491,106.8229198,JAKARTA,Indonesia
M,SIN,SIN,ICN,SEL,International,22-Apr,14,1.2830173,103.8513365,37.5652129,126.9773517,SEOUL,Korea (Rep. of)
M,SIN,SIN,HND,TYO,International,22-Apr,14,1.2830173,103.8513365,35.6811673,139.7670516,TOKYO,Japan
M,SIN,SIN,SYD,SYD,International,22-Apr,60,1.2830173,103.8513365,-33.8688197,151.2092955,SYDNEY,Australia
M,SIN,SIN,DVO,DVO,International,22-Apr,30,1.2830173,103.8513365,7.0736114,125.6110248,DAVAO,Philippines
M,SIN,SIN,NGO,NGO,International,22-Apr,13,1.2830173,103.8513365,35.1814506,136.9065571,NAGOYA,Japan
M,SIN,SIN,KUL,KUL,International,22-Apr,16,1.2830173,103.8513365,3.1319197,101.6840589,KUALA LUMPUR,Malaysia
L,SIN,SIN,MEL,MEL,International,22-Apr,17,1.2830173,103.8513365,-37.8136276,144.9630576,MELBOURNE,Australia
M,SIN,SIN,NRT,TYO,International,22-Apr,21,1.2830173,103.8513365,35.6811673,139.7670516,TOKYO,Japan
L,SIN,SIN,PER,PER,International,22-Apr,30,1.2830173,103.8513365,-31.9513993,115.8616783,PERTH,Australia
M,SIN,SIN,MXP,MIL,International,22-Apr,30,1.2830173,103.8513365,45.468503,9.1824027,MILAN,Italy
M,SIN,SIN,YVR,YVR,International,22-Apr,18,1.2830173,103.8513365,49.2827291,-123.1207375,VANCOUVER,Canada
M,SIN,SIN,DAC,DAC,International,22-Apr,22,1.2830173,103.8513365,23.804093,90.4152376,DHAKA,Bangladesh
L,SIN,SIN,MAA,MAA,International,22-Apr,38,1.2830173,103.8513365,13.0930694,80.2888899,CHENNAI,India (including Andaman Isl.)
M,SIN,SIN,HKG,HKG,International,22-Apr,25,1.2830173,103.8513365,22.3193039,114.1693611,HONG KONG,"Hong Kong (SAR), China"
M,SIN,SIN,BOM,BOM,International,22-Apr,30,1.2830173,103.8513365,19.0759837,72.8776559,MUMBAI,India (including Andaman Isl.)
M,SIN,SIN,MUC,MUC,International,22-Apr,30,1.2830173,103.8513365,48.1351253,11.5819806,MUNICH,Germany
M,SIN,SIN,MEL,MEL,International,22-Apr,60,1.2830173,103.8513365,-37.8136276,144.9630576,MELBOURNE,Australia
M,SIN,SIN,TPE,TPE,International,22-Apr,30,1.2830173,103.8513365,25.0329636,121.5654268,TAIPEI,Chinese Taipei
L,SIN,SIN,CGK,JKT,International,22-Apr,123,1.2830173,103.8513365,-6.1944491,106.8229198,JAKARTA,Indonesia
M,SIN,SIN,PNH,PNH,International,22-Apr,14,1.2830173,103.8513365,11.5563738,104.9282099,PHNOM PENH,Cambodia
M,SIN,SIN,MEL,MEL,International,22-Apr,16,1.2830173,103.8513365,-37.8136276,144.9630576,MELBOURNE,Australia
L,SIN,SIN,HYD,HYD,International,22-Apr,30,1.2830173,103.8513365,17.406498,78.4772439,HYDERABAD,India (including Andaman Isl.)
M,SIN,SIN,KIX,OSA,International,22-Apr,30,1.2830173,103.8513365,34.6937249,135.5022535,OSAKA,Japan
M,SIN,SIN,IST,IST,International,22-Apr,13,1.2830173,103.8513365,41.0082376,28.9783589,ISTANBUL,Turkey
M,SIN,SIN,CDG,PAR,International,22-Apr,30,1.2830173,103.8513365,48.8809481,2.3553137,PARIS,France
M,SIN,SIN,BKK,BKK,International,22-Apr,60,1.2830173,103.8513365,13.7563309,100.5017651,BANGKOK,Thailand
M,SIN,SIN,PNH,PNH,International,22-Apr,46,1.2830173,103.8513365,11.5563738,104.9282099,PHNOM PENH,Cambodia
M,SIN,SIN,DAC,DAC,International,22-Apr,22,1.2830173,103.8513365,23.804093,90.4152376,DHAKA,Bangladesh
M,SIN,SIN,BNE,BNE,International,22-Apr,30,1.2830173,103.8513365,-27.4704528,153.0260341,BRISBANE,Australia
L,SIN,SIN,PEN,PEN,International,22-Apr,90,1.2830173,103.8513365,5.2632341,100.4846227,PENANG,Malaysia
M,SIN,SIN,DAC,DAC,International,22-Apr,12,1.2830173,103.8513365,23.804093,90.4152376,DHAKA,Bangladesh
L,SIN,SIN,MNL,MNL,International,22-Apr,30,1.2830173,103.8513365,14.5995124,120.9842195,MANILA,Philippines
L,SIN,SIN,TPE,TPE,International,22-Apr,13,1.2830173,103.8513365,25.0329636,121.5654268,TAIPEI,Chinese Taipei
